title,body,labels,milestone
Task 4.3.99 — Unit Tests: Individual Documentation,Unit tests for individual documentation views.,"phase:4-ux-accessibility,section:4.3-individuals,type:testing,ontology:canonical-query","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.4.1 — Persistent Navigation State,"Implements persistent sidebar and selection state.

### Subtasks
- [ ] 4.4.1.1 Preserve sidebar expansion state
- [ ] 4.4.1.2 Preserve selected class/property across reloads
","phase:4-ux-accessibility,section:4.4-ux,type:feature","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.4.2 — Breadcrumb Navigation,"Implements breadcrumb navigation across ontology entities.

### Subtasks
- [ ] 4.4.2.1 Render class hierarchy breadcrumb trail
- [ ] 4.4.2.2 Render property navigation breadcrumbs
","phase:4-ux-accessibility,section:4.4-ux,type:feature","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.4.3 — Performance Optimizations,"Applies UI performance optimizations for large ontologies.

### Subtasks
- [ ] 4.4.3.1 Virtualize large class lists
- [ ] 4.4.3.2 Lazy-load graph and heavy panels
","phase:4-ux-accessibility,section:4.4-ux,type:feature","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.4.99 — Unit Tests: UX Enhancements,Unit tests for navigation persistence and performance enhancements.,"phase:4-ux-accessibility,section:4.4-ux,type:testing","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.5.1 — Keyboard Navigation,"Implements full keyboard navigation.

### Subtasks
- [ ] 4.5.1.1 Tab traversal through all UI components
- [ ] 4.5.1.2 Arrow-key navigation for accordion tree
","phase:4-ux-accessibility,section:4.5-accessibility,type:accessibility","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.5.2 — ARIA Roles & Screen Reader Support,"Applies ARIA roles and screen reader labels.

### Subtasks
- [ ] 4.5.2.1 Apply ARIA roles to accordions
- [ ] 4.5.2.2 Apply ARIA roles to graph controls
- [ ] 4.5.2.3 Provide screen-reader labels
","phase:4-ux-accessibility,section:4.5-accessibility,type:accessibility","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.5.3 — Visual Accessibility,"Implements visual accessibility adjustments.

### Subtasks
- [ ] 4.5.3.1 Enforce color contrast ratios
- [ ] 4.5.3.2 Provide focus outlines
- [ ] 4.5.3.3 Support dark mode
","phase:4-ux-accessibility,section:4.5-accessibility,type:accessibility","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.5.99 — Unit Tests: Accessibility,"Unit tests for keyboard navigation, screen reader support, and contrast.","phase:4-ux-accessibility,section:4.5-accessibility,type:testing","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.99.1 — Property & Individual Navigation Validation,"Integration validation for property and individual navigation.

### Subtasks
- [ ] 4.99.1.1 Navigate from class to property to class
- [ ] 4.99.1.2 Navigate from class to individual to class
","phase:4-ux-accessibility,section:4.99-integration,type:testing","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.99.2 — Accessibility Compliance Validation,"Integration validation for accessibility compliance.

### Subtasks
- [ ] 4.99.2.1 Full keyboard-only navigation test
- [ ] 4.99.2.2 Screen reader reading order validation
","phase:4-ux-accessibility,section:4.99-integration,type:testing","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
